timestamp,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,accel_norm,gyro_norm
0.077311999,0.025586341,0.001905257,0.998824312,-0.158864468,-0.126944959,-0.120250314,0.250916295,0.018684192,9.795120441,-0.002772708,-0.002215608,-0.002098764,9.798351521,0.004123304
0.078345000,0.025751514,0.001791023,0.998527108,-0.186711431,-0.165306866,-0.090784393,0.252536082,0.017563935,9.792205864,-0.003258729,-0.002885149,-0.001584487,9.795477459,0.004631846
0.079288999,0.025926672,0.001779516,0.998212670,-0.210058272,-0.158465534,-0.020231223,0.254253803,0.017451089,9.789122277,-0.003666208,-0.002765745,-0.000353101,9.792439149,0.004605987
0.080278999,0.026054036,0.001791898,0.997902964,-0.229699463,-0.116576798,0.037800543,0.255502811,0.017572520,9.786085102,-0.004009012,-0.002034649,0.000659744,9.789435739,0.004543923
0.081269999,0.026096286,0.001746558,0.997647973,-0.241078153,-0.059549615,0.050809078,0.255917148,0.017127878,9.783584498,-0.004207608,-0.001039337,0.000886786,9.786946029,0.004423864
0.082261999,0.026067873,0.001624715,0.997482231,-0.223768279,0.000031109,0.042089868,0.255638506,0.015933013,9.781959119,-0.003905493,0.000000543,0.000734607,9.785311907,0.003973981
0.083299999,0.025985067,0.001465854,0.997412985,-0.167386532,0.049873434,0.044003256,0.254826457,0.014375113,9.781280053,-0.002921446,0.000870456,0.000768002,9.784609479,0.003143623
0.084243999,0.025835985,0.001339322,0.997431500,-0.099377073,0.074466385,0.053608477,0.253364461,0.013134258,9.781461622,-0.001734457,0.001299684,0.000935644,9.784751275,0.002360710
0.085235000,0.025597332,0.001286703,0.997502678,-0.060723841,0.056762356,0.045514576,0.251024076,0.012618244,9.782159639,-0.001059831,0.000990690,0.000794379,9.785388061,0.001654009
0.086225999,0.025265711,0.001331304,0.997631377,-0.057719246,-0.009449254,0.002052950,0.247771986,0.013055633,9.783421746,-0.001007391,-0.000164921,0.000035831,9.786567451,0.001021430
0.087216999,0.024898312,0.001485140,0.997843377,-0.053091887,-0.095746629,-0.067677081,0.244169030,0.014564244,9.785500751,-0.000926628,-0.001671094,-0.001181188,9.788557380,0.002246419
0.088254999,0.024574460,0.001718101,0.998131332,-0.011916686,-0.147841603,-0.123380825,0.240993124,0.016848811,9.788324629,-0.000207985,-0.002580323,-0.002153402,9.791305358,0.003367263
0.089199000,0.024400355,0.001949499,0.998413741,0.053713549,-0.122820556,-0.125303835,0.239285745,0.019118057,9.791094108,0.000937478,-0.002143623,-0.002186964,9.794036298,0.003202624
0.090190999,0.024335645,0.002211821,0.998741532,0.105182208,-0.019439382,-0.072265334,0.238651148,0.021690552,9.794308642,0.001835776,-0.000339281,-0.001261268,9.797239745,0.002252994
0.091185999,0.024372365,0.002456574,0.999040695,0.123294681,0.128744587,0.000832530,0.239011250,0.024090760,9.797242435,0.002151898,0.002247017,0.000014530,9.800187043,0.003111264
